ID Program,Nama Program Latihan,Deskripsi Program,Jenis Latihan Program,Tujuan Latihan,Durasi Program (menit),Tempat Program,Peralatan Program (Ya/Tidak),Tingkat Kebugaran Program,Waktu Ideal Program,video_url,Target Gender,Rentang Usia
1,Knee Push Up,"Knee Push Up adalah variasi push-up yang dilakukan dengan lutut menyentuh lantai, mengurangi beban pada tubuh bagian atas. Ini sangat ideal untuk pemula yang ingin membangun kekuatan dasar dada, bahu, dan trisep sebelum beralih ke push-up standar. Lakukan gerakan ini secara terkontrol selama 10 repetisi dalam 3 set, dengan istirahat 2 menit di antara setiap set untuk pemulihan otot.",Kekuatan,Meningkatkan massa otot,30,Rumah,Tidak,Pemula,Pagi/Sore,https://youtu.be/WcHtt6zT3Go,Semua Gender,18-25 Tahun
2,Incline Push Up,"Incline Push Up melibatkan penempatan tangan pada permukaan yang lebih tinggi dari kaki, seperti meja atau bangku. Variasi ini mengurangi beban gravitasi, membuatnya lebih mudah daripada push-up standar, dan lebih menargetkan otot dada bagian bawah serta trisep. Lakukan 3 set berisi 12 repetisi, dengan istirahat 60 detik di antara set untuk menjaga intensitas.",Kekuatan,,25,Rumah,Ya,Pemula,Pagi/Sore,https://youtu.be/cfns5VDVVvk,Laki-laki,18-25 Tahun
3,Wall Push Up,"Wall Push Up adalah variasi push-up paling dasar, dilakukan dengan mendorong tubuh menjauh dari dinding. Latihan ini sangat cocok untuk pemula absolut atau mereka yang dalam masa pemulihan cedera, karena mengurangi beban secara signifikan dan membantu melatih gerakan dorong dasar. Lakukan 3 set sebanyak 15 repetisi, dengan istirahat singkat 45 detik antar set.",Kekuatan,Menjaga kesehatan,20,Rumah,Tidak,Pemula,Kapan saja,https://youtu.be/5NPvv40gd3Q,Laki-laki,18-25 Tahun
4,Standard Push Up,"Standard Push Up adalah latihan kekuatan tubuh bagian atas klasik yang melibatkan otot dada (pektorali), bahu (deltoid), dan trisep. Ini dilakukan dengan posisi tubuh lurus dari kepala hingga tumit. Latihan ini sangat efektif untuk membangun massa otot dan kekuatan fungsional. Lakukan 3 set sebanyak 10 repetisi, dengan istirahat 90 detik di antara setiap set untuk memungkinkan pemulihan otot yang cukup.",Kekuatan,Meningkatkan massa otot,30,Rumah,Tidak,Menengah,Pagi/Sore,https://www.youtube.com/watch?v=IODxDxX7oi4,Laki-laki,18-35 Tahun
5,Decline Push Up,"Decline Push Up adalah variasi lanjutan di mana kaki ditempatkan lebih tinggi dari tangan, misalnya di atas kursi atau bantal. Penempatan ini meningkatkan beban pada dada bagian atas dan bahu, membuatnya lebih menantang daripada push-up standar. Lakukan 3 set berisi 8 repetisi, dengan istirahat 90 detik antar set untuk memastikan otot pulih sepenuhnya sebelum set berikutnya.",Kekuatan,Meningkatkan massa otot,30,Rumah,Ya,Menengah,Pagi/Sore,https://www.youtube.com/watch?v=kK8gZG0G02U,Laki-laki,26-35 Tahun
6,Close Grip Push Up,"Close Grip Push Up, juga dikenal sebagai Diamond Push Up, menempatkan tangan lebih dekat bersama-sama di bawah dada, membentuk segitiga dengan ibu jari dan jari telunjuk. Variasi ini secara intens menargetkan otot trisep dan dada bagian dalam, memberikan stimulus yang berbeda dari push-up standar. Lakukan 3 set sebanyak 10 repetisi, dengan istirahat 60 detik di antara set.",Kekuatan,Meningkatkan massa otot,25,Rumah,Tidak,Menengah,Pagi/Sore,https://www.youtube.com/watch?v=v0K8C6mQ06U,Laki-laki,18-25 Tahun
7,Wide Grip Push Up,"Wide Grip Push Up dilakukan dengan tangan ditempatkan lebih lebar dari lebar bahu. Posisi tangan ini lebih menekankan otot dada bagian luar, membantu membentuk tampilan dada yang lebih luas. Pastikan untuk menjaga siku sedikit menekuk saat posisi atas untuk melindungi sendi. Lakukan 3 set berisi 10 repetisi, dengan istirahat 60 detik di antara set.",Kekuatan,Meningkatkan massa otot,25,Rumah,Tidak,Menengah,Pagi/Sore,https://www.youtube.com/watch?v=An-m-p0jD-Y,Laki-laki,18-25 Tahun
8,Plyometric Push Up (Clap Push Up),"Plyometric Push Up, atau Clap Push Up, adalah latihan eksplosif di mana Anda mendorong tubuh ke atas dari lantai dengan kekuatan cukup untuk mengangkat tangan dari tanah, bahkan bertepuk tangan di udara sebelum mendarat. Latihan ini sangat efektif untuk meningkatkan kekuatan eksplosif dan kecepatan otot. Lakukan 3 set berisi 5 repetisi, dengan istirahat 2 menit antar set karena intensitasnya tinggi.",Kekuatan,,30,Rumah,Tidak,Lanjut,Pagi/Sore,https://youtu.be/w0rCK91Mwhg,Laki-laki,18-25 Tahun
9,One Arm Push Up (Assisted),"One Arm Push Up (Assisted) adalah langkah menuju push-up satu tangan penuh. Anda bisa menggunakan satu tangan untuk menopang tubuh dan tangan lainnya untuk menyeimbangkan dengan menyentuh dinding atau objek rendah. Latihan ini membangun kekuatan unilateral yang signifikan di dada, bahu, dan trisep. Lakukan 3 set berisi 3 repetisi per lengan, dengan istirahat 90 detik antar set untuk pemulihan optimal.",Kekuatan,Meningkatkan massa otot,35,Rumah,Tidak,Lanjut,Pagi/Sore,https://www.youtube.com/watch?v=hG_e7lR00oM,Laki-laki,26-35 Tahun
10,Hindu Push Up,"Hindu Push Up adalah variasi dinamis yang menggabungkan elemen yoga dan latihan kekuatan. Gerakannya melibatkan posisi 'downward dog', meluncurkan tubuh ke bawah dan ke depan seperti ombak, kemudian kembali ke posisi awal. Latihan ini tidak hanya melatih kekuatan dada, bahu, dan trisep, tetapi juga meningkatkan fleksibilitas tulang belakang dan mobilitas seluruh tubuh. Lakukan 3 set sebanyak 8 repetisi, dengan istirahat 60 detik antar set.",Kekuatan,Menjaga kesehatan,25,Rumah,Tidak,Menengah,Pagi/Sore,https://youtu.be/nBLy1IGtSJ8,Wanita,18-25 Tahun
12,Pike Push Up,"Pike Push Up adalah latihan yang sangat efektif untuk menargetkan bahu (deltoid) dan trisep, menyerupai gerakan awal dari *handstand push-up*. Dalam posisi ini, pinggul diangkat tinggi ke udara membentuk huruf 'V' terbalik, dan kepala diturunkan ke lantai. Lakukan 3 set berisi 10 repetisi, dengan istirahat 60 detik di antara set untuk fokus pada otot bahu.",Kekuatan,Meningkatkan massa otot,25,Rumah,Tidak,Menengah,Pagi/Sore,https://youtu.be/x7_I5SUAd00,Laki-laki,18-25 Tahun
13,Diamond Push Up,"Diamond Push Up adalah variasi push-up dengan tangan diletakkan sangat dekat di bawah dada, membentuk bentuk berlian dengan ibu jari dan jari telunjuk. Variasi ini sangat menekankan otot trisep dan dada bagian dalam, memberikan fokus intens pada area tersebut. Lakukan 3 set sebanyak 8 repetisi, dengan istirahat 60 detik antar set.",Kekuatan,Meningkatkan massa otot,25,Rumah,Tidak,Menengah,Pagi/Sore,https://www.youtube.com/watch?v=J0D_Ld9l6xM,Laki-laki,18-25 Tahun
14,Staggered Hand Push Up,"Staggered Hand Push Up melibatkan penempatan satu tangan sedikit lebih maju dari tangan lainnya. Posisi ini secara tidak merata mendistribusikan beban, menantang kekuatan unilateral pada dada dan bahu, dan meningkatkan stabilitas. Lakukan 3 set berisi 6 repetisi per sisi (ganti posisi tangan di setiap set), dengan istirahat 90 detik antar set.",Kekuatan,Meningkatkan massa otot,30,Rumah,Tidak,Menengah,Pagi/Sore,https://www.youtube.com/watch?v=G3c0yW7y0g8,Laki-laki,26-35 Tahun
15,Archer Push Up (Assisted),"Archer Push Up (Assisted) adalah variasi lanjutan yang membantu membangun kekuatan untuk *one arm push up*. Dalam gerakan ini, satu lengan lurus ke samping (dengan jari-jari menyentuh tanah sebagai penyeimbang), sementara lengan lainnya melakukan push up standar. Ini melatih kekuatan eksentrik dan konsentris pada satu sisi. Lakukan 3 set berisi 4 repetisi per lengan, dengan istirahat 2 menit antar set karena tingkat kesulitannya.",Kekuatan,Meningkatkan massa otot,35,Rumah,Tidak,Lanjut,Pagi/Sore,https://www.youtube.com/watch?v=P6m-0jI250k,Laki-laki,26-35 Tahun
16,Pseudo Planche Push Up,"Pseudo Planche Push Up adalah latihan progresif yang mempersiapkan otot untuk gerakan *planche* yang sangat sulit. Posisi tangan diputar ke belakang dengan jari-jari menghadap kaki, dan tubuh sedikit dicondongkan ke depan sehingga bahu melewati pergelangan tangan. Ini secara intens melatih bahu depan dan trisep. Lakukan 3 set berisi 5 repetisi, dengan istirahat 2 menit antar set untuk pemulihan penuh.",Kekuatan,Meningkatkan massa otot,35,Rumah,Tidak,Lanjut,Pagi/Sore,https://www.youtube.com/watch?v=G3K8jA0V0_c,Laki-laki,26-35 Tahun
17,Knuckle Push Up,"Knuckle Push Up dilakukan dengan bertumpu pada buku-buku jari (knuckles) tinju yang mengepal, bukan pada telapak tangan. Latihan ini membantu memperkuat pergelangan tangan dan tinju, yang bermanfaat untuk seni bela diri atau kekuatan genggaman. Pastikan permukaan tidak terlalu keras untuk menghindari cedera. Lakukan 3 set berisi 10 repetisi, dengan istirahat 60 detik antar set.",Kekuatan,Menjaga kesehatan,25,Rumah,Tidak,Menengah,Pagi/Sore,https://www.youtube.com/watch?v=1F_U2wK7eD4,Laki-laki,18-25 Tahun
18,Fingertip Push Up,"Fingertip Push Up adalah latihan yang sangat menantang dan secara signifikan meningkatkan kekuatan jari serta stabilitas pergelangan tangan. Dilakukan dengan bertumpu hanya pada ujung jari, variasi ini membutuhkan kontrol dan kekuatan yang tinggi. Lakukan 3 set berisi 5 repetisi, dengan istirahat 90 detik antar set untuk pemulihan dan mencegah cedera jari.",Kekuatan,Menjaga kesehatan,25,Rumah,Tidak,Lanjut,Pagi/Sore,https://www.youtube.com/watch?v=rX_j-x-rB0c,Laki-laki,26-35 Tahun
19,Push Up Hold,"Push Up Hold adalah latihan isometrik di mana Anda menahan posisi push up (baik di posisi atas, tengah, atau bawah) tanpa bergerak. Latihan ini sangat efektif untuk membangun daya tahan otot, stabilitas inti, dan kekuatan isometrik pada dada, bahu, dan trisep. Tahan posisi selama 30-60 detik per set, lakukan 3 set secara total.",Kekuatan,,20,Rumah,Tidak,Pemula,Kapan saja,https://www.youtube.com/watch?v=mY9z6m0g8M0,Laki-laki,18-25 Tahun
