Unnamed: 0,name,force,level,mechanic,equipment,primaryMuscles,secondaryMuscles,instructions,category,images,id
0,3/4 Sit-Up,pull,beginner,compound,body only,abdominals,,"Berbaringlah di lantai dan mengamankan kaki Anda. Kaki Anda harus ditekuk di lutut., Tempatkan tangan Anda di belakang atau ke sisi kepala Anda. Anda akan mulai dengan punggung Anda di tanah. Ini akan menjadi posisi awal Anda., Lenturkan pinggul dan tulang belakang Anda untuk menaikkan tubuh Anda ke lutut., Di bagian atas kontraksi tubuh Anda harus tegak lurus terhadap tanah. Membalikkan mosi, hanya pergi ¾ dari jalan turun., Ulangi untuk jumlah pengulangan yang disarankan.",strength,"0.jpg, 1.jpg",3_4_Sit-Up
1,90/90 Hamstring,push,beginner,,body only,hamstrings,calves,"Berbaring telentang, dengan satu kaki terentang lurus., Dengan kaki lainnya, Tekuk pinggul dan lutut hingga 90 derajat. Anda dapat menguatkan kaki Anda dengan tangan jika perlu. Ini akan menjadi posisi awal Anda., Perpanjang kaki Anda langsung ke udara, berhenti sejenak di atas. Kembalikan kaki ke posisi awal., Ulangi untuk 10-20 pengulangan, dan kemudian beralih ke kaki lainnya.",stretching,"0.jpg, 1.jpg",90_90_Hamstring
2,Ab Crunch Machine,pull,intermediate,isolation,machine,abdominals,,"Pilih resistensi cahaya dan duduk di mesin AB yang meletakkan kaki Anda di bawah bantalan yang disediakan dan meraih pegangan atas. Lengan Anda harus ditekuk pada sudut 90 derajat saat Anda mengistirahatkan trisep pada bantalan yang disediakan. Ini akan menjadi posisi awal Anda., Pada saat yang sama, Mulailah mengangkat kaki ke atas saat Anda menggerakkan tubuh bagian atas. Bernapaslah saat Anda melakukan gerakan ini. Tip: Pastikan untuk menggunakan gerakan yang lambat dan terkontrol. Berkonsentrasilah menggunakan perut Anda untuk menggerakkan berat saat merilekskan kaki dan kaki Anda., Setelah jeda kedua, Perlahan kembali ke posisi awal saat Anda bernafas., Ulangi gerakan untuk jumlah pengulangan yang ditentukan.",strength,"0.jpg, 1.jpg",Ab_Crunch_Machine
3,Ab Roller,pull,intermediate,compound,other,abdominals,shoulders,"Pegang roller ab dengan kedua tangan dan berlutut di lantai., Sekarang letakkan roller ab di lantai di depan Anda sehingga Anda berada di semua tangan dan lutut (seperti pada posisi push up berlutut). Ini akan menjadi posisi awal Anda., Perlahan gulung roller ab lurus ke depan, meregangkan tubuh Anda ke posisi lurus. Kiat: Turun sejauh yang Anda bisa tanpa menyentuh lantai dengan tubuh Anda. Bernapaslah selama bagian gerakan ini., Setelah jeda pada posisi yang diregangkan, Mulailah menarik diri Anda kembali ke posisi awal saat Anda bernafas. Kiat: Pergi perlahan dan jaga perut Anda ketat setiap saat.",strength,"0.jpg, 1.jpg",Ab_Roller
4,Adductor,static,intermediate,isolation,foam roll,adductors,,"Berbaring telungkup dengan satu kaki di atas gulungan busa., Putar kaki sehingga gulungan busa kontak terhadap paha bagian dalam Anda. Menggeser sebanyak mungkin berat ke gulungan busa yang dapat ditoleransi., Saat mencoba rileks otot jika paha bagian dalam, Gulung busa di antara pinggul dan lutut Anda, Memegang titik ketegangan selama 10-30 detik. Ulangi dengan kaki lainnya.",stretching,"0.jpg, 1.jpg",Adductor
5,Adductor/Groin,static,intermediate,,body only,adductors,,"Berbaring telentang dengan kaki terangkat ke arah langit -langit., Mintalah pasangan Anda memegang kaki atau pergelangan kaki. Menculik kaki Anda sejauh yang Anda bisa. Ini akan menjadi posisi awal Anda., Cobalah untuk memeras kaki Anda bersama selama 10 detik atau lebih, Sementara pasangan Anda mencegah Anda melakukannya., Sekarang, Rilekskan otot -otot di kaki Anda saat pasangan Anda mendorong kaki terpisah, Peregangan sejauh yang nyaman bagi Anda. Pastikan untuk memberi tahu pasangan Anda kapan peregangannya memadai untuk mencegah overstretching atau cedera.",stretching,"0.jpg, 1.jpg",Adductor_Groin
6,Advanced Kettlebell Windmill,push,intermediate,isolation,kettlebells,abdominals,"glutes, hamstrings, shoulders","Bersihkan dan tekan overhead kettlebell dengan satu tangan., Menjaga agar kettlebell terkunci setiap saat, Dorong pantat Anda ke arah kettlebell yang terkunci. Jaga agar lengan yang tidak bekerja di belakang punggung dan putar kaki Anda pada sudut empat puluh lima derajat dari lengan dengan kettlebell., Turunkan diri Anda sejauh mungkin., Berhentilah sejenak dan balikkan gerakan kembali ke posisi awal.",strength,"0.jpg, 1.jpg",Advanced_Kettlebell_Windmill
7,Air Bike,pull,beginner,compound,body only,abdominals,,"Berbaring rata di lantai dengan punggung bagian bawah ditekan ke tanah. Untuk latihan ini, Anda harus meletakkan tangan di samping kepala Anda. Namun berhati -hatilah agar tidak menyaring leher saat Anda melakukannya. Sekarang angkat bahu Anda ke posisi krisis., Membawa lutut ke tempat mereka tegak lurus ke lantai, dengan kaki bagian bawah yang sejajar dengan lantai. Ini akan menjadi posisi awal Anda., Sekarang bersamaan, Perlahan -lahan melalui gerakan pedal siklus menendang ke depan dengan kaki kanan dan membawa lutut kaki kiri. Bawa siku kanan dekat lutut kiri Anda dengan berderak ke samping, Saat Anda bernafas., Kembali ke posisi awal saat Anda bernafas., Renyah ke sisi yang berlawanan saat Anda bersepeda kaki Anda dan membawa siku kiri lebih dekat ke lutut kanan Anda dan menghembuskan napas., Lanjutkan bergantian dengan cara ini sampai semua pengulangan yang disarankan untuk setiap pihak telah selesai.",strength,"0.jpg, 1.jpg",Air_Bike
8,All Fours Quad Stretch,static,intermediate,,body only,quadriceps,quadriceps,"Mulailah dengan tangan dan lutut Anda, Kemudian angkat kaki Anda dari lantai dan pegang kaki dengan tangan., Gunakan tangan Anda untuk memegang kaki atau pergelangan kaki, Menjaga lutut tetap tertekuk, meregangkan quadriceps dan fleksor pinggul., Fokus pada memperluas pinggul Anda, mendorong mereka ke lantai. Tahan selama 10-20 detik dan kemudian beralih sisi.",stretching,"0.jpg, 1.jpg",All_Fours_Quad_Stretch
9,Alternate Hammer Curl,pull,beginner,isolation,dumbbell,biceps,forearms,"Berdiri dengan tubuh Anda tegak dan halter di setiap tangan dipegang dengan panjang lengan. Siku harus dekat dengan batang tubuh., Telapak tangan harus menghadap ke tubuh Anda. Ini akan menjadi posisi awal Anda., Sambil memegang stasioner lengan atas, Gulung berat yang tepat ke depan saat mengontrak bisep saat Anda bernafas. Lanjutkan gerakan sampai bisep Anda sepenuhnya dikontrak dan dumbel berada pada tingkat bahu. Tahan posisi yang dikontrak sebentar saat Anda memeras bisep. Kiat: Hanya lengan yang harus bergerak., Perlahan mulai membawa dumbel kembali ke posisi awal saat bernafas., Ulangi gerakan dengan tangan kiri. Ini sama dengan satu pengulangan., Lanjutkan bergantian dengan cara ini untuk jumlah pengulangan yang disarankan.",strength,"0.jpg, 1.jpg",Alternate_Hammer_Curl
